Start,Finish,Active Calories (kcal),Distance (mi),Flights Climbed (count),Heart Rate (count/min),Steps (count)
7/1/17 0:00,7/2/17 0:00,16.945,0.436370145,0,99,1005.279618
7/2/17 0:00,7/3/17 0:00,177.3124167,1.598042799,0,116,3101.199043
7/3/17 0:00,7/4/17 0:00,165.7375833,3.535923229,1,102,7841.800957
7/4/17 0:00,7/5/17 0:00,254.4258987,2.819467776,0,95,5491.987098
7/5/17 0:00,7/6/17 0:00,134.9069502,2.348583566,0,89,4667.4309
7/6/17 0:00,7/7/17 0:00,380.3331511,6.962097146,7,121,14622.582
7/7/17 0:00,7/8/17 0:00,41.66896573,1.118493001,5,82,2742
7/8/17 0:00,7/9/17 0:00,192.4621174,1.995314388,5,106,4237
7/9/17 0:00,7/10/17 0:00,93.61920238,1.80614841,5,106,4667.38225
7/10/17 0:00,7/11/17 0:00,166.6487361,1.778249613,0,104,3541.500456
7/11/17 0:00,7/12/17 0:00,341.6639784,5.413337257,3,115,10904.91122
7/12/17 0:00,7/13/17 0:00,167.693,4.242615587,5,93,9288
7/13/17 0:00,7/14/17 0:00,288.507,3.678812636,0,91,8864
7/14/17 0:00,7/15/17 0:00,212.227,1.706440637,1,88,3492
7/15/17 0:00,7/16/17 0:00,1.866,3.351359889,4,0,9760
7/16/17 0:00,7/17/17 0:00,0.238,2.723180434,6,0,7238
7/17/17 0:00,7/18/17 0:00,360.7214552,3.949693218,2,107,8125
7/18/17 0:00,7/19/17 0:00,212.3835448,2.534104798,5,138,4955
7/19/17 0:00,7/20/17 0:00,0.22,5.047370349,0,0,15300
7/20/17 0:00,7/21/17 0:00,333.834,4.271572765,13,136,8631
7/21/17 0:00,7/22/17 0:00,0.026,2.296091867,4,0,6022
7/22/17 0:00,7/23/17 0:00,287.304,4.367636751,7,136,8894
7/23/17 0:00,7/24/17 0:00,0,2.954497343,9,0,7859
7/24/17 0:00,7/25/17 0:00,0.031,0.829257207,4,0,2046
7/25/17 0:00,7/26/17 0:00,0.18,5.174808536,5,0,13224
7/26/17 0:00,7/27/17 0:00,251.998,1.340241797,0,114,2693
7/27/17 0:00,7/28/17 0:00,1.361,4.121680202,10,0,11642
7/28/17 0:00,7/29/17 0:00,409.774,5.789358894,11,157,11789
7/29/17 0:00,7/30/17 0:00,4.999,1.367218569,9,90,3641
7/30/17 0:00,7/31/17 0:00,0,3.368409862,3,0,8773
7/31/17 0:00,8/1/17 0:00,342.777,4.554483746,11,101,9119.818115
8/1/17 0:00,8/2/17 0:00,485.399,7.119883235,12,108,13756
8/2/17 0:00,8/3/17 0:00,0.112,5.072664319,5,0,14250
8/3/17 0:00,8/4/17 0:00,0,3.92363104,8,0,10616
8/4/17 0:00,8/5/17 0:00,240.787,3.516611733,10,111,7221.076442
8/5/17 0:00,8/6/17 0:00,400.532,5.090869323,9,107,10144
8/6/17 0:00,8/7/17 0:00,229.17,2.315263376,2,121,4772
8/7/17 0:00,8/8/17 0:00,99.643,1.070218673,3,106,2222
8/8/17 0:00,8/9/17 0:00,36.198,0.658809615,1,88,1384.244507
8/9/17 0:00,8/10/17 0:00,0.403,0.078434938,0,76,201
8/10/17 0:00,8/11/17 0:00,136.079,0.870174614,0,90,1705
8/11/17 0:00,8/12/17 0:00,62.322,0.311717072,0,103,633
8/12/17 0:00,8/13/17 0:00,209.0813584,2.148050283,1,126,4091.684535
8/13/17 0:00,8/14/17 0:00,0.625641565,0.053815819,0,0,122.3154646
8/14/17 0:00,8/15/17 0:00,164.439,1.487910602,0,119,2653
8/15/17 0:00,8/16/17 0:00,175.178,1.911120307,1,203,3915
8/16/17 0:00,8/17/17 0:00,159.33,1.481553975,3,97,2997
8/17/17 0:00,8/18/17 0:00,0.028,0.029080172,0,0,64
8/18/17 0:00,8/19/17 0:00,53.815,0.590252923,4,99,1237
8/19/17 0:00,8/20/17 0:00,270.143,2.775223942,5,186,5679
8/20/17 0:00,8/21/17 0:00,2.291,0.968571297,1,0,2616
8/21/17 0:00,8/22/17 0:00,1.966,0.076478366,1,0,188
8/22/17 0:00,8/23/17 0:00,0.077,0.432305886,1,0,979
8/23/17 0:00,8/24/17 0:00,89.155,1.08508806,3,95,2307
8/24/17 0:00,8/25/17 0:00,0,0.528927638,0,0,1381
8/25/17 0:00,8/26/17 0:00,236.835,1.666720402,4,155,3786
8/26/17 0:00,8/27/17 0:00,1.609,0.300050486,1,0,738
8/27/17 0:00,8/28/17 0:00,0.125,1.589104781,3,0,3907
8/28/17 0:00,8/29/17 0:00,206.89,1.525652688,1,107,3051
8/29/17 0:00,8/30/17 0:00,236.37,2.10729962,5,116,4259
8/30/17 0:00,8/31/17 0:00,474.416,5.52362329,6,143,9817
8/31/17 0:00,9/1/17 0:00,116.098,3.012330824,14,97,6709
9/1/17 0:00,9/2/17 0:00,0.475,0.696658834,3,0,1642
9/2/17 0:00,9/3/17 0:00,0,1.759268615,2,0,4453
9/3/17 0:00,9/4/17 0:00,0,0.01056331,0,0,27
9/4/17 0:00,9/5/17 0:00,0,0.023320061,0,0,60
9/5/17 0:00,9/6/17 0:00,548.815,6.012621214,6,191,10843
9/6/17 0:00,9/7/17 0:00,0.084,1.519521135,4,0,3707
9/7/17 0:00,9/8/17 0:00,438.226,5.183233712,4,192,10397
9/8/17 0:00,9/9/17 0:00,337.909,4.713140632,3,124,8520
9/9/17 0:00,9/10/17 0:00,0,0.013278702,0,0,33
9/10/17 0:00,9/11/17 0:00,0.133,1.681105994,1,0,4331
9/11/17 0:00,9/12/17 0:00,150.916,1.586976986,2,93,3145
9/12/17 0:00,9/13/17 0:00,578.15,6.936823524,4,211,12112
9/13/17 0:00,9/14/17 0:00,533.904,6.05402574,3,196,10070
9/14/17 0:00,9/15/17 0:00,212.391,2.047523712,5,110,4103
9/15/17 0:00,9/16/17 0:00,84.82290955,1.093143253,1,90,2320
9/16/17 0:00,9/17/17 0:00,50.92309045,0.942366501,2,89,2056
9/17/17 0:00,9/18/17 0:00,0.096,0.025451364,0,0,61
9/18/17 0:00,9/19/17 0:00,552.507,3.156994403,3,94,6473
9/19/17 0:00,9/20/17 0:00,1418.174,7.002654498,8,207,12562
9/20/17 0:00,9/21/17 0:00,1067.007993,5.745732423,3,176,9548
9/21/17 0:00,9/22/17 0:00,709.99,5.548987662,6,177,10689
9/22/17 0:00,9/23/17 0:00,67.897,1.132237134,2,90,2345
9/23/17 0:00,9/24/17 0:00,0.257,0.038841913,0,0,93
9/24/17 0:00,9/25/17 0:00,468.387,5.846723883,5,176,9990
9/25/17 0:00,9/26/17 0:00,93.523,1.07491296,2,115,2277.753178
9/26/17 0:00,9/27/17 0:00,259.594,2.677941374,1,130,5736
9/27/17 0:00,9/28/17 0:00,170.604,1.90406372,1,100,4096
9/28/17 0:00,9/29/17 0:00,807.119,4.613801901,8,138,9781
9/29/17 0:00,9/30/17 0:00,898.8750061,4.57176931,3,127,7990
9/30/17 0:00,10/1/17 0:00,274.9066384,2.403901574,4,98,5056.023358
10/1/17 0:00,10/2/17 0:00,20.83636162,0.314454626,1,205,673.9766422
10/2/17 0:00,10/3/17 0:00,199.192,1.88266367,3,132,3928
10/3/17 0:00,10/4/17 0:00,368.466,3.693501252,5,113,7473
10/4/17 0:00,10/5/17 0:00,157.931,1.38192715,4,120,2942
10/5/17 0:00,10/6/17 0:00,391.263,4.039150205,1,130,8668
10/6/17 0:00,10/7/17 0:00,418.942,5.071202403,3,172,9339
10/7/17 0:00,10/8/17 0:00,0,0.033461525,0,0,88
10/8/17 0:00,10/9/17 0:00,299.721,2.853974944,8,131,6107.985717
10/9/17 0:00,10/10/17 0:00,0,0.074854708,0,0,191
10/10/17 0:00,10/11/17 0:00,174.192,1.89672977,2,115,3964
